word,freq
세월호,3111
침몰,1770
구조,1084
진도,901
가족,611
학생,582
오전,559
여객선,548
대통령,528
실종자,525
선장,476
승객,475
참사,461
안전,456
사고,443
이날,434
선박,429
기부,403
정부,401
상황,394
확인,380
단원,379
사람,361
국민,345
자신,342
현장,335
당시,334
관련,323
오후,320
시간,319
회장,311
때문,309
작업,298
이번,288
소식,279
희생자,274
캠페인,272
우리,266
관계자,263
대표,261
방송,255
경찰,254
탈출,252
반응,245
검찰,242
상태,237
마음,236
발생,234
애도,234
수사,231
사실,229
선원,228
경기,226
모습,226
예정,222
인터뷰,220
해상,216
누리,216
이후,214
수색,210
리본,205
진행,200
여행,198
이상,198
사진,197
조사,194
가운데,192
시작,190
주장,187
승무원,186
